Subject,Vowels,Sibilants,Nasals,Fricatives,Rhotics,VoicedStops,UnvoicedStops
1,0.184211495,0.150351202,0.160707067,0.169164715,0.148363856,0.199114368,0.171547866
2,0.152256715,0.145130021,0.141777351,0.18408176,0.169060888,0.19897938,0.205729125
3,0.142215193,0.164208034,0.174653878,0.185123556,0.146322969,0.189610362,0.17520197
4,0.375043092,0.248877281,0.269146646,0.198606276,0.266097102,0.361582699,0.272453726
5,0.293251239,0.246371317,0.263787013,0.243744122,0.279421107,0.267895866,0.265020793
6,0.20189337,0.192114102,0.224704643,0.157473898,0.217223753,0.205350398,0.208552171
7,0.214660346,0.192071341,0.248270209,0.206872045,0.159610677,0.198522318,0.202986236
8,0.316342491,0.224344763,0.32587812,0.263006072,0.231994383,0.275577983,0.214146111
9,0.49888281,0.317693574,0.481996181,0.277176637,0.431872136,0.398267666,0.366302369
10,0.217010316,0.160437367,0.223512441,0.181663147,0.259855475,0.267460893,0.22502403
11,0.300850621,0.203284281,0.305834023,0.263112067,0.282394347,0.33324605,0.230843834
12,0.241603311,0.179321142,0.303804924,0.218394502,0.194130513,0.233539904,0.281206251
13,0.315718464,0.224249391,0.281311503,0.303019272,0.2542628,0.268670197,0.210022537
14,0.224992205,0.170101873,0.277966349,0.224667072,0.227274601,0.255919098,0.234310866
15,0.520841678,0.293868878,0.489911185,0.359044808,0.466104775,0.487276328,0.364985333
16,0.332854803,0.268137985,0.240883372,0.310348284,0.24504688,0.302623223,0.282103408
17,0.196634766,0.168296504,0.24450073,0.201335905,0.193479423,0.168307813,0.21726556
18,0.255376906,0.201504621,0.217277253,0.179539784,0.225361082,0.319864243,0.222118857
19,0.206864229,0.192187123,0.384536142,0.191930603,0.257000527,0.22165612,0.196832738
20,0.231714631,0.241250087,0.372569062,0.253244475,0.269561206,0.226165576,0.235070906
21,0.252921417,0.168001208,0.166370737,0.174774734,0.223343592,0.243345035,0.211344339
22,0.281739487,0.222628467,0.244366994,0.261503032,0.237232281,0.275106903,0.217767316
23,0.205101856,0.235453014,0.241737175,0.195573646,0.230069663,0.250048832,0.174237969
24,0.377490791,0.242079863,0.244362949,0.233672209,0.256794763,0.25755509,0.223045659
25,0.246630434,0.196221527,0.303964118,0.232274193,0.198228751,0.253125336,0.229960408
